WEEK,WEEK_START,WEEK_END,TEAM_NAME,TEAM_ID,MATCHUP_KEY,TOTAL_WINS,FGM,FGA,FG_PERCENT,FTM,FTA,FT_PERCENT,THREES,PTS,REB,AST,STL,BLK,TO
1,10/19/21,10/24/21,BigWif’s BigBallers,2,1/2/10,5,148,319,0.464,71,83,0.855,39,406,156,91,23,29,46
2,10/25/21,10/31/21,BigWif’s BigBallers,2,2/2/09,4,175,431,0.406,92,120,0.767,54,496,170,117,38,8,64
3,11/1/21,11/7/21,BigWif’s BigBallers,2,3/2/07,4,227,497,0.457,82,111,0.739,68,604,212,165,48,21,86
4,11/8/21,11/14/21,BigWif’s BigBallers,2,4/2/04,4,256,514,0.498,106,123,0.862,75,693,179,122,35,15,75
1,10/19/21,10/24/21,Bye Week,12,1/9/12,4,161,341,0.472,60,83,0.723,50,432,180,86,21,17,64
2,10/25/21,10/31/21,Bye Week,12,2/7/12,2,182,413,0.441,101,135,0.748,55,520,245,98,41,22,64
3,11/1/21,11/7/21,Bye Week,12,3/4/12,5,178,403,0.442,73,100,0.73,41,470,246,89,31,19,53
4,11/8/21,11/14/21,Bye Week,12,4/6/12,5,201,439,0.458,67,94,0.713,59,528,225,129,38,22,67
1,10/19/21,10/24/21,Cbig_gettin_dis,6,1/6/07,2,150,299,0.502,38,52,0.731,43,381,161,45,19,17,44
2,10/25/21,10/31/21,Cbig_gettin_dis,6,2/4/06,4,192,398,0.482,68,88,0.773,59,511,238,108,33,24,63
3,11/1/21,11/7/21,Cbig_gettin_dis,6,3/5/06,3,194,411,0.472,81,94,0.862,57,526,160,93,33,27,55
4,11/8/21,11/14/21,Cbig_gettin_dis,6,4/6/12,4,167,374,0.447,57,77,0.74,71,462,179,100,35,23,38
1,10/19/21,10/24/21,Dragon Army,8,1/3/08,6,156,353,0.442,81,104,0.779,33,426,168,100,31,22,56
2,10/25/21,10/31/21,Dragon Army,8,2/1/08,5,256,506,0.506,96,123,0.78,44,652,244,142,47,19,88
3,11/1/21,11/7/21,Dragon Army,8,3/8/10,6,253,518,0.488,106,131,0.809,60,672,224,118,28,26,72
4,11/8/21,11/14/21,Dragon Army,8,4/8/09,6,187,403,0.464,84,115,0.73,40,498,193,107,25,27,56
1,10/19/21,10/24/21,LaMelo Submarine,1,1/1/11,8,177,381,0.465,63,78,0.808,60,477,218,113,41,19,59
2,10/25/21,10/31/21,LaMelo Submarine,1,2/1/08,4,166,402,0.413,69,84,0.821,59,460,224,117,31,23,85
3,11/1/21,11/7/21,LaMelo Submarine,1,3/1/03,5,193,403,0.479,68,85,0.8,59,513,206,116,41,30,65
4,11/8/21,11/14/21,LaMelo Submarine,1,4/1/05,6,175,369,0.474,88,109,0.807,63,501,240,133,44,22,63
1,10/19/21,10/24/21,Playoff P & The Gang,5,1/4/05,6,189,379,0.499,71,103,0.689,46,495,198,82,35,26,65
2,10/25/21,10/31/21,Playoff P & The Gang,5,2/3/05,4,219,453,0.483,65,91,0.714,29,532,219,103,38,23,76
3,11/1/21,11/7/21,Playoff P & The Gang,5,3/5/06,5,223,458,0.487,140,172,0.814,56,642,246,139,50,27,81
4,11/8/21,11/14/21,Playoff P & The Gang,5,4/1/05,3,232,472,0.492,96,120,0.8,56,616,200,108,41,28,70
1,10/19/21,10/24/21,Pondy’s the Coolest,3,1/3/08,3,164,383,0.428,63,72,0.875,45,436,164,90,28,21,59
2,10/25/21,10/31/21,Pondy’s the Coolest,3,2/3/05,5,203,504,0.403,72,89,0.809,66,544,191,131,31,20,65
3,11/1/21,11/7/21,Pondy’s the Coolest,3,3/1/03,3,182,400,0.455,65,81,0.802,74,503,182,116,34,20,64
4,11/8/21,11/14/21,Pondy’s the Coolest,3,4/3/10,5,201,462,0.435,79,98,0.806,60,541,175,96,33,21,65
1,10/19/21,10/24/21,Sick Brag,9,1/9/12,5,140,316,0.443,49,68,0.721,55,384,157,96,35,31,58
2,10/25/21,10/31/21,Sick Brag,9,2/2/09,5,172,374,0.46,62,85,0.729,44,450,206,112,41,37,58
3,11/1/21,11/7/21,Sick Brag,9,3/9/11,2,133,307,0.433,50,68,0.735,36,352,193,95,27,21,47
4,11/8/21,11/14/21,Sick Brag,9,4/8/09,3,171,379,0.451,40,58,0.69,55,437,188,123,33,26,58
1,10/19/21,10/24/21,The Trash Man,7,1/6/07,7,176,394,0.447,78,94,0.83,47,477,202,121,29,21,69
2,10/25/21,10/31/21,The Trash Man,7,2/7/12,7,206,444,0.464,130,161,0.807,66,608,260,132,30,30,78
3,11/1/21,11/7/21,The Trash Man,7,3/2/07,4,221,484,0.457,83,110,0.755,71,596,244,129,36,21,80
4,11/8/21,11/14/21,The Trash Man,7,4/7/11,4,204,453,0.45,85,108,0.787,61,554,229,127,30,18,76
1,10/19/21,10/24/21,The Tsunami Papis,11,1/1/11,1,109,243,0.449,38,59,0.644,24,280,147,93,34,16,43
2,10/25/21,10/31/21,The Tsunami Papis,11,2/10/11,3,149,355,0.42,63,83,0.759,29,390,186,113,31,23,59
3,11/1/21,11/7/21,The Tsunami Papis,11,3/9/11,7,173,378,0.458,68,91,0.747,39,453,228,123,33,18,77
4,11/8/21,11/14/21,The Tsunami Papis,11,4/7/11,3,127,288,0.441,44,55,0.8,26,324,164,127,34,18,52
1,10/19/21,10/24/21,Valley Oop,4,1/4/05,3,155,321,0.483,62,78,0.795,43,415,118,87,28,8,61
2,10/25/21,10/31/21,Valley Oop,4,2/4/06,5,203,463,0.438,109,125,0.872,60,575,197,118,47,8,78
3,11/1/21,11/7/21,Valley Oop,4,3/4/12,4,173,405,0.427,78,106,0.736,50,474,190,120,21,8,65
4,11/8/21,11/14/21,Valley Oop,4,4/2/04,4,243,494,0.492,106,131,0.809,75,667,195,111,36,17,58
1,10/19/21,10/24/21,White Donte’s Inferno,10,1/2/10,3,170,385,0.442,56,81,0.691,38,434,156,117,27,18,78
2,10/25/21,10/31/21,White Donte’s Inferno,10,2/10/11,6,277,589,0.47,112,145,0.772,45,711,264,161,30,18,92
3,11/1/21,11/7/21,White Donte’s Inferno,10,3/8/10,3,217,485,0.447,124,150,0.827,52,610,183,126,33,20,84
4,11/8/21,11/14/21,White Donte’s Inferno,10,4/3/10,4,232,494,0.47,111,138,0.804,62,637,171,151,25,5,98
