TEAM_ID,TEAM_NAME,TOTAL_WEEKS,TOTAL_WINS,TOTAL_FGM,TOTAL_FGA,TOTAL_FG_PERCENT,TOTAL_FTM,TOTAL_FTA,TOTAL_FT_PERCENT,TOTAL_THREES,TOTAL_PTS,TOTAL_REB,TOTAL_AST,TOTAL_STL,TOTAL_BLK,TOTAL_TO
1,LaMelo Submarine,4,23,711,1555,1.831,288,356,3.236,241,1951,888,479,157,94,272
8,Dragon Army,4,23,852,1780,1.9,367,473,3.098,177,2248,829,467,131,94,272
7,The Trash Man,4,22,807,1775,1.818,376,473,3.179,245,2235,935,509,125,90,303
5,Playoff P & The Gang,4,18,863,1762,1.961,372,486,3.017,187,2285,863,432,164,104,292
2,BigWif’s BigBallers,4,17,806,1761,1.825,351,437,3.223,236,2199,717,495,144,73,271
3,Pondy’s the Coolest,4,16,750,1749,1.721,279,340,3.292,245,2024,712,433,126,82,253
4,Valley Oop,4,16,774,1683,1.84,355,440,3.212,228,2131,700,436,132,41,262
10,White Donte’s Inferno,4,16,896,1953,1.829,403,514,3.094,197,2392,774,555,115,61,352
12,Bye Week,4,16,722,1596,1.813,301,412,2.914,205,1950,896,402,131,80,248
9,Sick Brag,4,15,616,1376,1.787,201,279,2.875,190,1623,744,426,136,115,221
11,The Tsunami Papis,4,14,558,1264,1.768,213,288,2.95,118,1447,725,456,132,75,231
6,Cbig_gettin_dis,4,13,703,1482,1.903,244,311,3.106,230,1880,738,346,120,91,200
